Company,Company Description,Date Victimised,Number of Clicks,Status,Data Size (Gb),Link to Folder Directory
gbricambi.it,"9 mila testate motore. 25 mila pompe e migliaia di altri prodotti: questi sono i numeri che distinguono la produzione di GB Ricambi, azienda italiana con sede a",2024-08-30 09:39:00,8334,Published,105.41,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/3c225883e419bd11d71120503729b170-2ed2d5ab-f935-3690-b313-4f5bcc3aebd7/gbricambi.it/gbricambi.it.7z-file-tree.txt
fanningfanning.com,"Engineering services for Mechanical, Electrical, Plumbing design and plant layout, HVAC, lighting, power, energy conservation and management, utilities",2024-08-30 09:38:00,8292,Published,188.61,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/3476b44b3a6b17fc7a3c1c98b0c001ee-5d65fba7-7b8f-3ff1-8879-5f22ce927e1f/fanningfanning.com/fanningfanning.com.7z-file-tree.txt
akanea.com,"AKANEA, éditeur de logiciels pour la gestion et logistique : transport routier, transport international maritime et aérien, agroalimentaire et douane.",2024-08-30 09:37:00,8436,Published,34.0,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/ed1dcb62f31dc4de0e4bd06ef3027c30-b5d1668a-8695-3f81-9433-662619f9fddb/akanea.com/akanea.com.7z-file-tree.txt
jutebag.co.uk,"Jute Trading Ltd, Unit 370, Centennial Park, Centennial Avenue, Elstree Borehamwood, WD6 3TJ, UK. Phone: 01923 537 433. Email: sales@jutebag.co.uk. JuteBag Grey",2024-08-30 09:36:00,7761,Published,8.6,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/908afd32869f3c47fe360f326edfa2a1-65fc05e0-4591-3fb3-8318-cb15fc8eaf87/jutebag.co.uk/jutebag.co.uk.7z-file-tree.txt
designintoto.com.au,"Intoto is a communications agency specialising in below-the-line services across a diverse range of categories from brand identity, photography, and design",2024-08-30 09:35:00,7032,Published,486.54,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/10f2f9f94b4fac7b9c23578fc185ec34-4a935faa-a3de-3147-801e-7c04a797ebc4/designintoto.com.au/designintoto.com.au.7z-file-tree.txt
robesoncoso.org,"Sheriff Burnis Wilkins Sheriff Burnis Wilkins is a 40+ year sworn law enforcement Officer serving with city, county, state and federal agencies.",2024-08-30 09:34:00,6424,Published,962.57,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/fd5cde624cdf794711c21f515dc08090-ed5398aa-8619-3b4d-b8f1-c7131de86588/robesoncoso.org/robesoncoso.org.7z-file-tree.txt
acdcexpress.com,"ACDC Express is a South African Electrical Retail and Wholesale Franchise, specializing in Everything Electrical.",2024-08-29 17:36:00,6834,Published,108.81,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/af432f7d5808ec3011283681b6db0d05-6a6e874e-0e93-3492-b2c1-553db98b2c66/acdcexpress.com/acdcexpress.com.7z-file-tree.txt
pkf.com.au,"PKF Australia Limited is a member of PKF Global, the network of member firms of PKF International Limited, each of which is a separately owned legal entity and ...",2024-08-29 15:54:00,6746,Published,93.71,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/805798ab54627345489173514b122879-31ca4acd-2813-3f19-a1f6-031133682492/pkf.com.au/pkf.com.au.7z-file-tree.txt
inces.com,inces.com,2024-08-29 15:54:00,6591,Published,14.9,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/dd5ac62665233bdad3dd9aae84fd0808-71d2f3dd-d029-3cba-be85-bdf856c79438/inces.com/inces.com.7z-file-tree.txt
huntongroup.com,"Hunton Group is a synergistic group of Companies focused on innovative systems, comprehensive solutions, and Trane's high-quality products.",2024-08-29 15:53:00,6205,Published,55.33,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/APEFT.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/AcctEFT.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/BusinessPlanning.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/Credit.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/Deposit.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/ExecutiveManagement.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/GLa.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/HGOpportunities.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/SpecialtyProducts.zip-file-tree.txt| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/4e2f2de4e5fdaf1a5861a0a350a2cbfd-609b23b4-7022-315d-a14c-5faa24ea4a43/huntongroup.com/admin.zip-file-tree.txt
hphood.com,"Products: Milk, Ice Cream, Cottage Cheese, Sour Cream, Cream Eggnog, Recipes, Store Locator, Girl drinking Hood Milk, Girl drinking Hood milk.",2024-08-29 15:52:00,6484,Published,119.01,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/0d96142b120b18f26283e57202719113-8a3039cc-9b60-3768-b7e1-3f2d2eec3514/hphood.com/hphood.com.7z-file-tree.txt
bridgestoneamericas.com,"Since its founding in 1931, Bridgestone is committed to innovating improvements for the world around us. We strive for what sets new standards.",2024-08-29 15:51:00,6537,Published,218.2,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/9935d15a1351f7d353f240d149f47db1-b69d6419-d509-330e-a08e-453c93f627c7/bridgestoneamericas.com/bfusa.7z-file-tree.txt
albanybank.com,Personal Banking Business Internet Banking Promo Business Internet Banking Managing your business finances is easier than ever!,2024-08-29 15:50:00,6405,Published,7.5,| http://lockbit7z55tuwaflw2c7torcryobdvhkcgvivhflyndyvcrexafssad.onion/secret/b8500dfae0791c878b101c07b57a9412-7c38cd22-33d8-3e79-b10c-fa5b41bea4da/albanybank.com/albanybank.7z-file-tree.txt
sampoernaagro.com,"Founded in 1993 and headquartered in South Sumatra, Indonesia, PT Sampoerna Agro Tbk is a palm oil manufacturer. They engage in the production of p...",2024-08-29 15:30:00,6420,Published,335.73,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/4c2061c8aa65a4336d0068910f8c8b02-deae00fc-1f86-3078-847c-f922a7c9b0ef/sampoernaagro.com/SampoernaAgro.com.zip-file-tree.txt
tdsb.on.ca,"The Toronto District School Board, also known under the acronym of TDSB, is the largest school Board in Canada and the fourth largest in North America",2024-08-29 15:28:00,6199,Published,77.81,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/32c5a5a4b46099c8461f9a65432e9a29-37fd5c17-857c-3c5f-a673-3bf575e9450e/tdsb.on.ca/tdsb.on.ca.zip-file-tree.txt
alconca.com.ve,Granja Alconca CA is a company that operates in the Animals & Livestock industry. It employs 20to49 people and has 1Mto5M of revenue,2024-08-29 15:26:00,6085,Published,22.8,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/48ca476d469dd12bcf4a804251b4696d-df170bfd-f06f-3302-9ed6-1c3582d2fe6c/alconca.com.ve/granja.zip-file-tree.txt
ultragasmexico.com,"Ultragas México Organization began in 2013 by acquiring the companies Gas del Valle de Tollocan, SA de CV, Distribuidora Mexicana de Gas LP SA de CV and Compañía de Gas del Centro, SA de CV.",2024-08-12 11:21:00,10524,Published,17.1,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/f99969167efbb02dcda0b6dfe93ce1c5-318d19f2-b326-3b7a-9e57-eb7bdbff1ab9/ultragasmexico.com/ultragasmexico.com.7z-file-tree.txt
taylorcrane.com,"Taylor Crane & Rigging, Inc. is committed to providing our clients with the very best in service, equipment and personnel. With this commitment, we will satisfy our clients’ needs in a safe, competitive, and responsive manner.",2024-08-12 11:20:00,10611,Published,51.5,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/7f654b1831028851bc497ecf8129e8b0-6f7ece3c-dfef-36de-8158-632b8780fb49/taylorcrane.com/taylorcrane.com.7z-file-tree.txt
soken-ce.co.jp,"Since its founding in 1948, the Soken Kagaku Group has developed unique technologies in fields such as home appliances, automobiles, and building materials, based on the founding spirit of ``Let's be the best company, no matter how small, and contrib...",2024-08-12 11:18:00,10505,Published,247.42,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/95f0861c3d4a3b1ff2296908e18df7a5-1b80d8e7-7343-305e-8415-10ae891e85f9/soken-ce.co.jp/soken-ce.co.jp.7z-file-tree.txt
sitrack.com,"By using our services, you’ll be able to control and ensure the welfare of your capital, reducing costs, observing and making its operation effective.",2024-08-12 11:15:00,9059,Published,35.1,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/d7aa49aab80c1bf3f36c7c53430d8ed2-ba65a297-9afd-3d14-9023-cc3774253de1/sitrack.com/sitrack.com.7z-file-tree.txt
shinwajpn.co.jp,Supported by engineering power Shinwa is supported by the engineering power of trading company and manufacturer functions.A solution partner that responds to manufacturing issues.,2024-08-12 11:14:00,7849,Published,117.81,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/a8d0023da1c59190f8f2366a23bbc645-6a0d99bb-7fd8-3fc2-8627-563ab96f5ed9/shinwajpn.co.jp/shinwajpn.co.jp.7z-file-tree.txt
mogaisrael.com,"Import and export of various high-quality products for the food and chemical industry with Kashrut Le’Mehadrin, such as dried vegetables, leaves, spices and food additives",2024-08-12 11:12:00,7703,Published,86.01,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/b811588e0512f9d9168c4d07b74961eb-11aefdbe-97d5-32ba-9466-5c8600ea4703/mogaisrael.com/mogaisrael.com.7z-file-tree.txt
maximumresearch.com,"MAXimum Research, Inc. is a market research firm with over 300 CATI stations. Our facility houses a100 CATI station phone room, in addition to 200+ remote agents across the US. Based in Southern New Jersey, just minutes from Philadelphia, MAXimum Res...",2024-08-12 11:06:00,7722,Published,35.2,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/58215b4dc5eedc30d4eb439e60b863a8-448ed059-5340-3293-a599-5cb4b2bfc104/maximumresearch.com/maximumresearch.com.7z-file-tree.txt
kioti.com,"Since the first KIOTI tractor was introduced in the U.S. in 1986, KIOTI has aligned itself among the nation’s leading tractor brands. KIOTI remains steadfastly committed to the advancement and growth of tractor technology, value and service. And in t...",2024-08-12 11:05:00,7348,Published,261.72,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/8aa7b9d90019fa9987bcf7a3c1cce477-e4045a91-e06d-3a8c-b658-2ec374f1337f/kioti.com/kioti.com.7z-file-tree.txt
indoramaventures.com,Indorama Ventures is a world-class sustainable chemical company making great products for society.,2024-08-12 11:04:00,7122,Published,202.32,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/5a8b2badedcb8593e8d7790a9403cc67-979fb81c-1741-3579-9609-55f46ee32f9b/indoramaventures.com/indoramaventures.com.7z-file-tree.txt
hatsinteriors.com,"Hats Interiors is a family-owned business specializing in high-quality, custom furniture, joinery, and fit-outs. Our designs blend modern style with timeless craftsmanship, all meticulously created in our factory with a focus on sustainability and et...",2024-08-12 11:03:00,7286,Published,40.6,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/e4eda2f836515d8ffc75de2f131638fa-b08e8149-017e-3c72-beb6-04b1148c9d6f/hatsinteriors.com/hatsinteriors.com.7z-file-tree.txt
grc-c.co.il,"Company G. R. si. Consultants Ltd. (formerly Audit Plus Ltd.) has been operating since 2007 in the areas of internal audit, internal control and risk management and assessment. The company employs lawyers, economists, internal auditors and profession...",2024-08-12 11:01:00,7265,Published,5.6,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/8069f94b4d8ea8152218981f6960423e-c69de6e8-d506-3d8c-9de3-a58debcb5e36/grc-c.co.il/grc-c.co.il.7z-file-tree.txt
eif.org.na,"The Environmental Investment Fund (EIF) is a fund created by Act 13 of 2001 of the Parliament of the Republic of Namibia with the overall aim of continuing this great legacy by supporting individuals, projects and communities that ensure the sustaina...",2024-08-12 11:00:00,7233,Published,167.41,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/0aa3628d12a358fa2149893b8dd375f0-287eb702-adbb-3429-b900-84e33fdb728b/eif.org.na/eif.org.na.7z-file-tree.txt
coreengg.com,"Core Engineering LLC was founded in 2007, in Corpus Christi, TX. We have grown over the last few years, expanding our services over several states. We are a full-service engineering firm with a multi-discipline team of highly-motivated professionals.",2024-08-12 10:58:00,7094,Published,23.5,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/e0c68429f475a64326e6303e4e2fbd49-abdc9578-eb14-3a48-85b9-46b17fa30596/coreengg.com/coreengg.com.7z-file-tree.txt
champion.com.co,International freight forwarding & logistics providers,2024-08-12 10:57:00,7207,Published,54.7,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/49a3b2ab16309299c18e34ffde11b954-1bcff91e-feb5-3ff9-a19a-67b27a4e0f92/champion.com.co/champion.com.co.7z-file-tree.txt
centralepaysanne.lu,"Founded in 1944, the Central Paysanne Luxembourgeoise, the largest and oldest professional organisation for farmers, winemakers and gardeners, is headed by a nine-member board",2024-08-12 10:56:00,7204,Published,201.62,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/2c8c22a143e13660ff58f3f1ee358e35-61a0f911-4ebf-39dc-8cb0-4a156db61df1/centralepaysanne.lu/centralepaysanne.lu.7z-file-tree.txt
carlfischer.com,Helping educators and musicians,2024-08-12 10:55:00,7225,Published,52.6,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/627c16bd850676fb37616dd55527e3f2-27af060d-caf1-369a-9117-08d3f2d442f4/carlfischer.com/carlfischer.com.7z-file-tree.txt
auburnpikapp.org,Our chapter at Auburn University implements the standards and executes the challenges set forth by the PI KAPPA PHI fraternity in order to develop exceptionally educated and modern leaders.,2024-08-12 10:54:00,7071,Published,7.4,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/92c8eb57689e32ca78dce878e9106954-65de5a20-58b2-3736-9965-f7ac87c01156/auburnpikapp.org/auburnpikapp.org.7z-file-tree.txt
anwaltskanzlei-kaufbeuren.de,"HERZLICH WILLKOMMEN IN DER KANZLEI PVZ POHL, VÖLSCH, ZINNER. Wir sind eine seit 1994 in Kaufbeuren ansässige Kanzlei. Unsere Rechtsanwälte beraten und vertreten sowohl Privatpersonen, mittelständische Unternehmen als auch lokale Gebietskörperschaften...",2024-08-12 10:28:00,7092,Published,107.01,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/0dd27c97bc954be76b959a47ee2e689f-c27cf9a9-f044-3532-8938-8a08345be66b/anwaltskanzlei-kaufbeuren.de/anwaltskanzlei-kaufbeuren.de.7z-file-tree.txt
udhaiyamdhall.com,"Shri Lakshmi Agro Foods Private Limited is one of the leading food processing companies in India, having its state of the art processing unit at Thiruvotriyur Chennai in about 3.15 acres of land. It has a strong presence in the market for the past 85...",2024-08-12 10:25:00,7133,Published,6.7,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/0de24a0133fe64a70a3ce2225f072ff6-b0b7f9d3-4626-3a74-945f-818e2d83e62f/udhaiyamdhall.com/udhaiyamdhall.com.7z-file-tree.txt
tetco.com,"TETCO, Inc. is a San Antonio-based company, owned and operated by the Tom E. Turner family for more than 60 years. Food service franchises, petrochemical distribution, and heavy truck and trailer repairs are the company’s primary revenue sources, wit...",2024-08-12 10:22:00,7132,Published,4.5,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/9e02260ec4fe0143b3c8cab8e5dca55f-b37429f1-8282-3764-ba10-77b3f68985df/tetco.com/tetco.com.7z-file-tree.txt
ipsenlogistics.com,"We are a holding company with interests in the field of international transport services, including industrial export packing.",2024-08-12 10:22:00,6803,Published,0.04,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/e253e84eaffd4d5bdbe4c8a3d7347cde-91eb12b7-2a64-3d28-9332-960ee0ae9eef/ipsenlogistics.com/ipsenlogistics.com.7z-file-tree.txt
inouemfg.com,"INOUE MFG., INC.",2024-08-12 10:17:00,7009,Published,2.6,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/9b5fa658291bf3c94d42440b5ba827d7-b872735b-c283-3136-a4f0-3878d5aa6119/inouemfg.com/inouemfg.com.7z-file-tree.txt
ciasc.mx,"Our firm Consultants and Researchers in Administration, S.C. was founded in 1993. Today we specialize in Credit Investigation and Portfolio Recovery services through extrajudicial and judicial means",2024-08-12 10:16:00,7010,Published,0.84,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/51366653ce05a88b44e6316c529b0d6c-88c9fe9e-d518-3477-aac6-b0d0511d98f7/ciasc.mx/ciasc.mx.7z-file-tree.txt
cdtmedicus.pl,"The Medicus Diagnostic and Therapy Center has 19 specialized clinics where patients can receive professional advice from doctors. specialists, and thereby take care of the health of yourself and your loved ones",2024-08-12 10:15:00,7012,Published,1.2,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/b563415296490fee72854debeddcb8b1-428b868a-083a-3896-8c31-056b66e70374/cdtmedicus.pl/cdtmedicus.pl.7z-file-tree.txt
bildco.ae,Abu Dhabi National Building Materials Co.,2024-08-12 10:14:00,6834,Published,4.0,| http://lockbit33chewwx25efq6dgkhkw4u7nefudq4ijkuamjfd7x73on6dyd.onion/secret/164d6d09ffcf4c39f774b2591f1e2d7e-8becf979-79c8-3216-ba50-c0b391d5da19/bildco.ae/bildco.ae.7z-file-tree.txt
vitema.vi.gov,"FEMA, VITEMA Complete Exercises to Prepare for Hurricane Season. From May 20 to May 24, the Government of the Virgin Islands and federal partners participated in a series of response and recovery workshops along with a hurricane readiness response ex...",2024-08-11 12:19:00,7275,Published,8.5,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/da6bd4b9b6f6bb2bf07bf8eca04f6392-c65e96af-5260-33dd-921f-859885a3d7f9/vitema.vi.gov/vitema.vi.gov.7z-file-tree.txt
vinatiorganics.com,Vinati Organics Limited (VOL) is one of the largest manufacturers of specialty chemical and organic intermediaries with a sustained market presence spanning over 35 countries in the world.,2024-08-11 12:17:00,7136,Published,37.2,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/c20504ce830a96e0c3d96fbac1d401e9-5f6bbeb4-4b6e-382d-a370-1bdfde318821/vinatiorganics.com/vinatiorganics.com.7z-file-tree.txt
vikrantsprings.com,Vikrant Springs is a leading manufacturer and exporter of custom made MULTI-LEAF and PARABOLIC SPRINGS with an experience of over 35 years.,2024-08-11 12:15:00,7024,Published,0.7,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/90b26edfb15f899b40b25cbedf234e92-5aec8ce5-2273-31d4-baa7-46fcd8b83feb/vikrantsprings.com/vikrantsprings.com.7z-file-tree.txt
unisi.it,"Il sito ufficiale dell'Università di Siena offre informazioni su corsi, eventi, orientamento e servizi. Scopri le novità, le iniziative e le opportunità per studenti e docenti.",2024-08-11 12:14:00,6893,Published,305.82,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/bd6d61cb0fbe8acfa325ead84e9160ff-e2938b9d-debf-33dd-9ad1-a8d3bde24008/unisi.it/unisi.it.7z-file-tree.txt
acsistemas.com,"View Antonio Y Columbiano Informatica (www.acsistemas.com) location in Andalusia, Spain , revenue, industry and description. Find related and similar companies as well as employees by title and much more.",2024-08-11 12:07:00,13149,Published,34.13,NA
thaiagri.com,"With our high quality product, TAF has customers in over 70 countries span over 6 continents, namely America, Europe, Middle East, Africa, Asia, Oceania. Quality goods are shipped through modern and punctual transportation channels.",2024-08-11 11:57:00,6474,Published,138.1,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/aae851038b236a29acad4bdc2ff77568-5a9dee97-15af-3d82-aa83-dee65b803e80/thaiagri.com/thaiagri.com.7z-file-tree.txt
snapethorpeprimary.co.uk,WELCOME. Welcome to Snapethorpe Primary School. Since we started at Snapethorpe in Autumn 2023 Ms. Lewis - the Deputy Head Teacher - and I have experienced a very warm and welcoming school and we want everyone who already attends or arrives in Snapet...,2024-08-11 11:55:00,6429,Published,19.3,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/284eaa56cbf389df970da21fc0ecc8fd-8b57b64f-fb1b-3aa1-b49b-527a134ef805/snapethorpeprimary.co.uk/snapethorpeprimary.co.uk.7z-file-tree.txt
sislocar.com,"integrated logistics services. We offer tailored solutions that encompass customs warehouses, international transportation, and customs services. Our modern and secure warehouses, along with our extensive network of international partners, ensure pun...",2024-08-11 11:53:00,6234,Published,0.23,| http://lockbit24pegjquuwbmwjlvyivmyaujf33kvlepcxyncnugm3zw73myd.onion/secret/d197bb427e75b340e5c2440ae07154c1-d569a801-2606-3a98-a393-994e56b94c6a/sislocar.com/sislocar.com.7z-file-tree.txt
